,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
VCAM1,2965.0066572815063,3.7042977579401475,1.4174297886422103,3.822943792009171,0.00013186784770650444,0.0006771324305816818
VCL,65412.36663664559,7.372550779498222,0.2960585101490564,10.705832281100847,9.55679857890985e-27,1.506718562765051e-24
VDR,1131.0494066317367,4.9291326179454975,0.7127197995093778,7.577135069913354,3.532689475042562e-14,1.1213162809388415e-12
VEGFA,20156.722757964417,4.111122791378875,0.6429576830818969,5.082662480565362,3.721807028655661e-07,3.5274062513636865e-06
VEGFC,2500.6085108197444,4.544716965575464,0.783517020529064,6.263470905159173,3.765014300560676e-10,6.453603365608605e-09
VIM,287647.3626146799,7.020470677002093,0.1485947383137625,9.717813577957495,2.531589015489559e-22,2.4376313829012556e-20
WEE1,2400.2219793916524,4.8473518591619005,0.31058533158846563,15.637281539865942,4.0568033092724505e-55,5.2289203327456856e-52
WNT5A,8698.239797356731,6.134936858276333,0.5573466908184969,6.222057875634422,4.906759552188008e-10,8.243241135274163e-09
XDH,75.29360249310776,9.615737924914882,2.7984677428522526,4.359019405117727,1.3064652914100268e-05,8.66968433666034e-05
XIST,10506.80327728102,6.792857729145694,6.816449689141273,4.065918556783614,4.7843643034309986e-05,0.0002755571042204919
XRCC2,922.0209598274597,3.5431401853590803,0.9421792671485459,4.571517647091359,4.842045030689987e-06,3.5938344570775606e-05
PXDN,45882.46895721908,7.229731867128026,0.4185276253627622,8.52127219897555,1.5781015714819514e-17,8.233099362200567e-16
TFPI2,3199.0759075134483,6.170223361783452,3.0738754651853837,8.081572462246179,6.393691781342969e-16,2.7382177906545546e-14
ADAM12,12893.130014191225,6.530660650146272,0.3908044021515243,11.427076231868167,3.062474649178611e-30,7.202839965863202e-28
FOSL1,5621.032689049191,6.123286160804907,0.8978133217680705,9.3663548972026,7.508071877134462e-21,5.886246296243067e-19
MFAP5,1634.2036526615045,5.472098150872328,1.5254573242789597,3.3451940125712696,0.0008222503128481298,0.0033485169566937604
HMGA2,2709.5775174720266,9.529764809323975,1.0273039922358822,9.72605997137752,2.334610577606389e-22,2.26315256465668e-20
GDF5,1021.506575366494,7.1432028324187415,1.2938068746352671,6.526225368498181,6.744781173544615e-11,1.2816870926734382e-09
PDE5A,7508.808989600305,6.051024894615706,0.6230233541092952,5.757379494217822,8.54297126684022e-09,1.14227407982625e-07
SERPINB7,204.8505174611148,11.14042931927415,2.83765921965628,5.130899271537398,2.883611990364305e-07,2.806867860147377e-06
ABCC3,5781.04049278176,5.999773498004242,1.1396043024491749,4.634697245453623,3.5746025205758633e-06,2.7322760981727177e-05
CTNNAL1,6422.017412163155,3.2839949515115676,0.4792770602984423,5.984489993863628,2.170689328347557e-09,3.2851139022998316e-08
ADAM19,8961.375315402965,4.026379197644739,0.7463996646387253,5.508099810718579,3.627277371900601e-08,4.262125180561664e-07
MYL9,48064.876915605346,6.746678652866963,0.6825810606566337,3.3525139353210776,0.000800812098719227,0.003268634759694097
NDC80,1674.3337809273487,6.344800327314702,0.8673506151483823,7.907218695858799,2.63203011117669e-15,1.0096720856965767e-13
YAP1,10187.711816951174,3.3899977365738914,0.258638794277253,12.183154150633781,3.8220913553741195e-34,1.4430406493566445e-31
GPNMB,22894.863926558253,3.305616956820786,0.6303970499625242,4.106230780165364,4.0216769164771747e-05,0.00023598772482903078
TACC3,3702.2575306218046,3.4487369915545503,0.6867805485576474,5.248459673716472,1.533762046850903e-07,1.588800295030318e-06
FST,4062.1154701344904,5.931220413059154,1.211668558906031,8.871238856130601,7.233661108505504e-19,4.3789593216763066e-17
SEC23A,11694.999170618421,3.660754317127117,0.4315615777621028,7.677367656905803,1.6239086990723667e-14,5.507852980045212e-13
CAP1,30883.127158946467,3.1101487284330056,0.3031478765260216,4.258503250347317,2.0580022794928315e-05,0.00012933052432712944
SEMA3C,20130.788863631362,6.549199116247949,0.45726650493112153,6.589995041876972,4.3984126442080265e-11,8.728081079730644e-10
HYOU1,17685.888795361225,3.376495681603319,0.2747910624123133,6.655664024810449,2.820238331558149e-11,5.780279906123538e-10
P3H3,6906.051229909749,3.248527039055982,0.4539517993298842,6.561509284653881,5.326585806291601e-11,1.035508490011729e-09
PRDX4,10121.30899865532,3.7228301414326066,0.39318316768788414,8.280770881197428,1.223804501927375e-16,5.852641063050683e-15
CDC42EP3,9607.39467871187,4.343259713287695,0.35304174081738504,10.571720067932254,4.0303376037774344e-26,5.840732687009581e-24
P3H4,3888.48154233848,3.182537068811665,0.3618747127699542,8.735437127768297,2.4271567964273266e-18,1.3928967423337141e-16
MYL12A,28962.71621101999,3.901474434597194,0.549093475014816,5.187630335898289,2.1298685507562186e-07,2.1397813354444276e-06
POSTN,48258.4282269339,7.641768823519358,3.5975899116040293,9.192076346489463,3.8533043475748645e-20,2.792088761346292e-18
RAD51AP1,844.3743633477375,3.2607669875683793,0.721925898950548,5.04651611146936,4.4993896730391667e-07,4.180877178697728e-06
IGF2BP1,532.1360589001683,8.945839603489928,2.103790110504536,5.327799793668331,9.940961153270779e-08,1.0743544196950187e-06
IGF2BP3,3286.9324885047986,9.13453814055709,0.866264370252695,11.24983551296762,2.320243544512894e-29,5.1213129435579214e-27
IGF2BP2,2858.669898774921,5.630460113762991,0.40562458708633964,16.08703205638748,3.145594497600614e-58,7.521640709512668e-55
POLQ,1037.254785947074,4.8554522424253586,0.853322049110612,6.274639936022065,3.5044432520475855e-10,6.0213469864822405e-09
PLK4,1156.5514290994302,3.2874940386225786,0.8211684441716285,4.683539961611979,2.8196245193887383e-06,2.205733532152139e-05
NES,21365.938883124105,3.166309791064808,0.6512673331687672,3.862808170215335,0.00011209102734024852,0.0005871376302484649
MTHFD2,4922.676917608281,3.782540935805735,0.3777814400624624,9.589614298206362,8.8414908038038e-22,7.68781021588928e-20
SEC24A,4193.543205078071,3.165283568610804,0.2510728994067664,12.363873532324432,4.099174965403346e-35,1.6803103779611944e-32
PDIA5,3331.3959922249096,4.198599514430617,0.7979519111721579,5.760462294373102,8.388386806919231e-09,1.1236992111939329e-07
CKAP4,27968.011053576756,6.74894989556846,0.23932533823217034,12.508049570112844,6.74603455057476e-36,3.337426127486072e-33
KIF2C,3069.4081702746876,5.606725515416149,0.8573281544680987,6.4982628983797,8.125272523356566e-11,1.523833789445708e-09
GLIPR1,26179.07177917086,6.764431559025132,0.32543990169578435,10.093842840648326,5.882069255067638e-24,6.697622825591699e-22
KDELR2,23369.55422723082,3.398853997723363,0.21911727746328283,12.11088939469836,9.248584078759921e-34,3.4022932250761173e-31
KDELR3,4824.809196354897,5.937382497714046,0.44900505159436943,11.998382732693274,3.623067775399398e-33,1.155114519414559e-30
UBE2C,1905.9329220207285,5.363999192341152,1.3517116157391902,7.007271819971291,2.430098748567059e-12,5.869465782102962e-11
ADAMTS5,5139.253317999031,6.039565905731362,1.7775131311761083,5.690965223670224,1.2632323650798704e-08,1.6416299584964585e-07
PRSS23,33435.10260382576,7.129136001181694,0.3852060358324151,10.9256255322992,8.693928064408749e-28,1.6412077097377935e-25
EMILIN1,7447.624823739282,4.068255461651254,0.91609805706983,4.775263366410465,1.7947221818556327e-06,1.4605149825911948e-05
ZWINT,2201.293971553644,3.4025982619795623,0.7006980051508922,5.180968701914849,2.207365315649514e-07,2.200769296985655e-06
FSTL1,167189.61113715777,8.074846454972628,0.3807639384413333,10.285437412549298,8.196903671369458e-25,1.0315875173082246e-22
ADAMTS7,12348.942739733931,6.584904366667249,0.9322833982965756,6.568018796561146,5.0989106144786764e-11,9.939411764392061e-10
ADAMTS6,1530.8099731503926,3.4202653017728912,0.7711711276446527,4.962436540403813,6.961431486924416e-07,6.230549727392576e-06
GALNT5,8130.017953529722,6.473595222740856,2.0329903511063874,13.957340329363028,2.838295329631686e-44,2.2622790607903224e-41
NXPH4,1287.488383266022,3.791191611488312,0.9597045655274511,4.799020047358561,1.5944383618899801e-06,1.3116632556213041e-05
FILIP1L,8368.425989228974,4.505423235914934,0.7795887304971092,5.854855830995424,4.774239825713788e-09,6.689064333937082e-08
PALLD,40401.541915022,6.5569230321670195,0.3311403434274461,6.308176364775913,2.823423803382909e-10,4.93394169392626e-09
GANAB,51150.40488567244,3.5028866858855396,0.2961762040492045,7.661492076809391,1.8378521871552976e-14,6.132015192817919e-13
SULF1,12127.14600660977,6.549186764107172,0.945171882704971,6.738173502458413,1.603899815709317e-11,3.38897653254515e-10
